AAA;Anaa;French Polynesia
AAC;El Arish International Airport;Egypt
AAE;Annaba;Algeria
AAH;Flugplatz Merzbrueck;Germany
AAL;Aalborg;Denmark
AAM;Malamala Airport;South Africa
AAN;Al Ain International Airport;United Arab Emirates
AAO;Anaco;Venezuela
AAQ;Vityazevo;Russia
AAR;Aarhus;Denmark
AAY;Al Ghaidah Intl;Yemen
AAZ;Quezaltenango Airport;Guatemala
ABA;Abakan;Russia
ABC;Albacete;Spain
ABD;Abadan;Iran
ABE;Lehigh Valley Intl;United States
ABI;Abilene Rgnl;United States
ABJ;Abidjan Felix Houphouet Boigny Intl;Cote d'Ivoire
ABK;Kabri Dehar Airport;Ethiopia
ABM;Bamaga Injinoo;Australia
ABQ;Albuquerque International Sunport;United States
ABR;Aberdeen Regional Airport;United States
ABS;Abu Simbel;Egypt
ABT;Al Baha;Saudi Arabia
ABV;Nnamdi Azikiwe Intl;Nigeria
ABX;Albury;Australia
ABY;Southwest Georgia Regional Airport;United States
ABZ;Dyce;United Kingdom
ACA;General Juan N Alvarez Intl;Mexico
ACC;Kotoka Intl;Ghana
ACE;Lanzarote;Spain
ACH;St Gallen Altenrhein;Switzerland
ACI;Alderney;Guernsey
ACK;Nantucket Mem;United States
ACT;Waco Rgnl;United States
ACV;Arcata;United States
ACY;Atlantic City Intl;United States
ADA;Adana;Turkey
ADB;Adnan Menderes;Turkey
ADD;Bole Intl;Ethiopia
ADE;Aden Intl;Yemen
ADF;Adiyaman Airport;Turkey
ADK;Adak Airport;United States
ADL;Adelaide Intl;Australia
ADM;Ardmore Muni;United States
ADQ;Kodiak;United States
ADU;Ardabil Airport;Iran
ADW;Andrews Afb;United States
ADX;Leuchars;United Kingdom
ADZ;Gustavo Rojas Pinilla;Colombia
AEH;Abeche;Chad
AEP;Aeroparque Jorge Newbery;Argentina
AER;Sochi;Russia
AES;Vigra;Norway
AEX;Alexandria Intl;United States
AEY;Akureyri;Iceland
AFA;San Rafael;Argentina
AFL;Alta Floresta;Brazil
AFY;Afyon;Turkey
AFZ;Sabzevar National Airport;Iran
AGA;Inezgane;Morocco
AGB;Augsburg;Germany
AGF;La Garenne;France
AGJ;Aguni;Japan
AGP;Malaga;Spain
AGQ;Agrinion;Greece
AGR;Agra;India
AGS;Augusta Rgnl At Bush Fld;United States
AGT;Ciudad del Este;Paraguay
AGU;Jesus Teran Intl;Mexico
AGV;Oswaldo Guevara Mujica;Venezuela
AGX;Agatti;India
AGZ;Aggeneys;South Africa
AHB;Abha;Saudi Arabia
AHE;Ahe Airport;French Polynesia
AHN;Athens Ben Epps Airport;United States
AHO;Alghero;Italy
AHS;Ahuas Airport;Honduras
AHU;Cherif El Idrissi;Morocco
AIM;Ailuk Airport;Marshall Islands
AIT;Aitutaki;Cook Islands
AIU;Atiu Island Airport;Cook Islands
AJA;Campo Dell Oro;France
AJF;Al-Jawf Domestic Airport;Saudi Arabia
AJI;Agri Airport;Turkey
AJL;Aizawl;India
AJN;Ouani;Comoros
AJO;Al Jouf;Saudi Arabia
AJR;Arvidsjaur;Sweden
AJU;Santa Maria;Brazil
AJY;Manu Dayak;Niger
AKA;Ankang Airport;China
